           x                  F(x)
------------------------------------
   -1.000000         -0.9596976941
   -0.900000         -0.8283900317
   -0.800000         -0.7032932907
   -0.700000         -0.5851578127
   -0.600000         -0.4746643851
   -0.500000         -0.3724174381
   -0.400000         -0.2789390060
   -0.300000         -0.1946635109
   -0.200000         -0.1199334222
   -0.100000         -0.0549958347
    0.000000          0.0000000000
    0.100000          0.0450041653
    0.200000          0.0800665778
    0.300000          0.1053364891
    0.400000          0.1210609940
    0.500000          0.1275825619
    0.600000          0.1253356149
    0.700000          0.1148421873
    0.800000          0.0967067093
    0.900000          0.0716099683
    1.000000          0.0403023059
    1.100000          0.0035961214
    1.200000         -0.0376422455
    1.300000         -0.0825011714
    1.400000         -0.1300328571
    1.500000         -0.1792627983
    1.600000         -0.2291995223
    1.700000         -0.2788444943
    1.800000         -0.3272020947
    1.900000         -0.3732895669
    2.000000         -0.4161468365
    2.100000         -0.4548461046
    2.200000         -0.4885011173
    2.300000         -0.5162760213
    2.400000         -0.5373937155
    2.500000         -0.5511436155
    2.600000         -0.5568887534
    2.700000         -0.5540721420
    2.800000         -0.5422223407
    2.900000         -0.5209581651
    3.000000         -0.4899924966
    3.100000         -0.4491351503
    3.200000         -0.3982947758
    3.300000         -0.3374797699
    3.400000         -0.2667981926
    3.500000         -0.1864566873
    3.600000         -0.0967584163
    3.700000          0.0018999683
    3.800000          0.1090322881
    3.900000          0.2240676958
    4.000000          0.3463563791
    4.100000          0.4751760535
    4.200000          0.6097391787
    4.300000          0.7492008279
    4.400000          0.8926671300
    4.500000          1.0392042006
    4.600000          1.1878474731
    4.700000          1.3376113365
    4.800000          1.4874989834
    4.900000          1.6365123694
    5.000000          1.7836621855
