# Система, Розв'язок #1, x0=[1.5 0.5]
Крок	x1	x2	f(x)
0	1.50000000	0.50000000	2.31250000e+00
1	2.00000000	0.50000000	6.25000000e-02
2	1.87500000	0.62500000	3.83300781e-02
3	1.93750000	0.50000000	9.91821289e-04
4	1.93750000	0.51562500	3.92019749e-04
5	1.92968750	0.52343750	1.06800348e-04
6	1.93359375	0.51562500	3.06034926e-05
7	1.93164062	0.51757812	8.20451532e-07
8	1.93164062	0.51806641	6.53848531e-07
9	1.93188477	0.51757812	1.40806868e-08
10	1.93185425	0.51763916	1.35638109e-10
11	1.93185043	0.51763916	1.50436076e-11
12	1.93185139	0.51763821	8.27789258e-13
13	1.93185163	0.51763821	4.45866384e-14
14	1.93185163	0.51763809	1.20266055e-14
15	1.93185163	0.51763815	1.12399268e-14
16	1.93185166	0.51763809	7.11735745e-17
17	1.93185165	0.51763809	6.72023475e-18
18	1.93185165	0.51763809	3.44076785e-19
19	1.93185165	0.51763809	1.15246397e-19
20	1.93185165	0.51763809	6.51206057e-21
21	1.93185165	0.51763809	4.15438052e-21
22	1.93185165	0.51763809	1.26420540e-21
23	1.93185165	0.51763809	1.99070909e-22
24	1.93185165	0.51763809	1.11234429e-25
