# Система, Розв'язок #4, x0=[-0.5 -1.5]
Крок	x1	x2	f(x)
0	-0.50000000	-1.50000000	2.31250000e+00
1	-1.00000000	-1.50000000	8.12500000e-01
2	-1.25000000	-1.50000000	8.00781250e-01
3	-0.87500000	-1.75000000	3.11767578e-01
4	-0.50000000	-1.87500000	5.88378906e-02
5	-0.62500000	-1.87500000	3.83300781e-02
6	-0.56250000	-1.93750000	1.30157471e-02
7	-0.50000000	-1.93750000	9.91821289e-04
8	-0.51562500	-1.93750000	3.92019749e-04
9	-0.52343750	-1.92968750	1.06800348e-04
10	-0.51953125	-1.92968750	4.72918618e-05
11	-0.51757812	-1.93164062	8.20451532e-07
12	-0.51806641	-1.93164062	6.53848531e-07
13	-0.51782227	-1.93188477	2.40624463e-07
14	-0.51757812	-1.93188477	1.40806868e-08
15	-0.51760864	-1.93185425	3.50375461e-09
16	-0.51763916	-1.93185425	1.35638109e-10
17	-0.51763535	-1.93185425	6.73198924e-11
18	-0.51763725	-1.93185234	4.80184821e-12
19	-0.51763773	-1.93185186	5.41079470e-13
20	-0.51763797	-1.93185163	1.16000123e-13
21	-0.51763821	-1.93185163	4.45866384e-14
22	-0.51763809	-1.93185163	1.20266055e-14
23	-0.51763815	-1.93185163	1.12399268e-14
24	-0.51763812	-1.93185166	4.29294500e-15
25	-0.51763809	-1.93185166	7.11735745e-17
26	-0.51763809	-1.93185165	6.72023475e-18
27	-0.51763809	-1.93185165	3.44076785e-19
28	-0.51763809	-1.93185165	1.68828168e-19
29	-0.51763809	-1.93185165	6.51206057e-21
30	-0.51763809	-1.93185165	4.15438052e-21
31	-0.51763809	-1.93185165	1.26420540e-21
32	-0.51763809	-1.93185165	1.99070909e-22
33	-0.51763809	-1.93185165	5.90670696e-23
34	-0.51763809	-1.93185165	1.11234429e-25
