# Функція: Вуда
Крок	x1	x2	x3	x4	f(x)
0	-3.00000000	-1.00000000	-3.00000000	-1.00000000	1.91920000e+04
1	-1.50000000	0.50000000	-1.50000000	0.50000000	6.04375000e+02
2	-1.00000000	1.00000000	-1.00000000	1.00000000	8.00000000e+00
3	-0.98437500	0.97656250	-0.98437500	0.97656250	7.90834415e+00
4	-0.98046875	0.96875000	-0.98437500	0.97656250	7.90059117e+00
5	-0.97656250	0.96289062	-0.98046875	0.97070312	7.88957944e+00
6	-0.97460938	0.95703125	-0.97851562	0.96679688	7.88456598e+00
7	-0.97070312	0.95117188	-0.97460938	0.96093750	7.87898132e+00
8	-0.97070312	0.95117188	-0.97265625	0.95703125	7.87808041e+00
9	-0.96875000	0.94824219	-0.97167969	0.95507812	7.87723410e+00
10	-0.96826172	0.94750977	-0.97119141	0.95434570	7.87709082e+00
11	-0.96801758	0.94702148	-0.97094727	0.95385742	7.87703449e+00
12	-0.96777344	0.94665527	-0.97070312	0.95349121	7.87699861e+00
13	-0.96765137	0.94641113	-0.97058105	0.95312500	7.87698404e+00
14	-0.96765137	0.94641113	-0.97033691	0.95275879	7.87697465e+00
15	-0.96752930	0.94622803	-0.97021484	0.95257568	7.87696902e+00
16	-0.96746826	0.94613647	-0.97018433	0.95251465	7.87696779e+00
17	-0.96743774	0.94609070	-0.97015381	0.95246887	7.87696729e+00
18	-0.96742249	0.94606781	-0.97013855	0.95244598	7.87696714e+00
19	-0.96741486	0.94605255	-0.97013092	0.95243073	7.87696707e+00
20	-0.96739960	0.94602966	-0.97013092	0.95243073	7.87696702e+00
21	-0.96739197	0.94600677	-0.97013092	0.95243073	7.87696700e+00
22	-0.96737671	0.94598389	-0.97013092	0.95243073	7.87696697e+00
23	-0.96737671	0.94598389	-0.97012329	0.95241928	7.87696696e+00
24	-0.96737289	0.94597816	-0.97011948	0.95241356	7.87696696e+00
25	-0.96737194	0.94597626	-0.97012043	0.95241642	7.87696696e+00
26	-0.96737099	0.94597435	-0.97012043	0.95241642	7.87696696e+00
27	-0.96736908	0.94597149	-0.97012043	0.95241642	7.87696696e+00
28	-0.96736813	0.94596863	-0.97012043	0.95241737	7.87696696e+00
29	-0.96736622	0.94596577	-0.97012234	0.95242023	7.87696696e+00
30	-0.96736574	0.94596434	-0.97012329	0.95242167	7.87696696e+00
31	-0.96736479	0.94596291	-0.97012377	0.95242310	7.87696696e+00
32	-0.96736431	0.94596148	-0.97012472	0.95242453	7.87696696e+00
33	-0.96736336	0.94596004	-0.97012520	0.95242596	7.87696695e+00
34	-0.96736240	0.94595861	-0.97012615	0.95242739	7.87696695e+00
35	-0.96736193	0.94595718	-0.97012663	0.95242882	7.87696695e+00
36	-0.96736097	0.94595575	-0.97012758	0.95243025	7.87696695e+00
37	-0.96736050	0.94595432	-0.97012854	0.95243168	7.87696695e+00
38	-0.96735954	0.94595289	-0.97012901	0.95243311	7.87696695e+00
39	-0.96735907	0.94595146	-0.97012997	0.95243454	7.87696695e+00
40	-0.96735811	0.94595003	-0.97013044	0.95243597	7.87696695e+00
41	-0.96735764	0.94594860	-0.97013140	0.95243740	7.87696695e+00
42	-0.96735668	0.94594717	-0.97013187	0.95243883	7.87696695e+00
43	-0.96735573	0.94594574	-0.97013283	0.95244026	7.87696695e+00
44	-0.96735525	0.94594431	-0.97013330	0.95244169	7.87696695e+00
45	-0.96735430	0.94594288	-0.97013426	0.95244312	7.87696695e+00
46	-0.96735382	0.94594145	-0.97013521	0.95244455	7.87696695e+00
47	-0.96735287	0.94594002	-0.97013569	0.95244598	7.87696695e+00
48	-0.96735239	0.94593859	-0.97013664	0.95244741	7.87696695e+00
49	-0.96735144	0.94593716	-0.97013712	0.95244884	7.87696695e+00
50	-0.96735096	0.94593573	-0.97013807	0.95245028	7.87696695e+00
51	-0.96735001	0.94593430	-0.97013855	0.95245171	7.87696695e+00
52	-0.96734905	0.94593287	-0.97013950	0.95245314	7.87696694e+00
53	-0.96734858	0.94593143	-0.97013998	0.95245457	7.87696694e+00
54	-0.96734762	0.94593000	-0.97014093	0.95245600	7.87696694e+00
55	-0.96734715	0.94592857	-0.97014189	0.95245743	7.87696694e+00
56	-0.96734619	0.94592714	-0.97014236	0.95245886	7.87696694e+00
57	-0.96734571	0.94592571	-0.97014332	0.95246029	7.87696694e+00
58	-0.96734476	0.94592428	-0.97014380	0.95246172	7.87696694e+00
59	-0.96734428	0.94592285	-0.97014475	0.95246315	7.87696694e+00
