# Функція: Коренева (Бута)
Крок	x1	x2	f(x)
0	0.00000000	0.00000000	7.40000000e+01
1	1.50000000	1.50000000	6.50000000e+00
2	2.00000000	2.00000000	2.00000000e+00
3	1.50000000	2.50000000	5.00000000e-01
4	1.25000000	2.75000000	1.25000000e-01
5	1.12500000	2.87500000	3.12500000e-02
6	1.06250000	2.93750000	7.81250000e-03
7	1.03125000	2.96875000	1.95312500e-03
8	1.01562500	2.98437500	4.88281250e-04
9	1.00781250	2.99218750	1.22070312e-04
10	1.00390625	2.99609375	3.05175781e-05
11	1.00195312	2.99804688	7.62939453e-06
12	1.00097656	2.99902344	1.90734863e-06
13	1.00048828	2.99951172	4.76837158e-07
14	1.00024414	2.99975586	1.19209290e-07
15	1.00012207	2.99987793	2.98023224e-08
16	1.00006104	2.99993896	7.45058060e-09
17	1.00003052	2.99996948	1.86264515e-09
18	1.00001526	2.99998474	4.65661287e-10
19	1.00000763	2.99999237	1.16415322e-10
20	1.00000381	2.99999619	2.91038305e-11
21	1.00000191	2.99999809	7.27595761e-12
22	1.00000095	2.99999905	1.81898940e-12
23	1.00000048	2.99999952	4.54747351e-13
24	1.00000024	2.99999976	1.13686838e-13
25	1.00000012	2.99999988	2.84217094e-14
26	1.00000006	2.99999994	7.10542736e-15
27	1.00000003	2.99999997	1.77635684e-15
