# Функція: Розенброка
Крок	x1	x2	f(x)
0	-1.20000000	1.00000000	2.42000000e+01
1	-1.20000000	1.50000000	5.20000000e+00
2	-1.13750000	1.31250000	4.60347900e+00
3	-1.10625000	1.21875000	4.43882828e+00
4	-1.09062500	1.19531250	4.37413468e+00
5	-1.08281250	1.17187500	4.33814487e+00
6	-1.06718750	1.14843750	4.28238124e+00
7	-1.05937500	1.12500000	4.24176774e+00
8	-1.05156250	1.11328125	4.21453003e+00
9	-1.04765625	1.10156250	4.19447927e+00
10	-1.03984375	1.08984375	4.16830483e+00
11	-1.03593750	1.07812500	4.14750017e+00
12	-1.02812500	1.06640625	4.12206178e+00
13	-1.02421875	1.05468750	4.10066902e+00
14	-1.01640625	1.04296875	4.07566961e+00
15	-1.01250000	1.03125000	4.05386963e+00
16	-1.00859375	1.01953125	4.03496410e+00
17	-1.00078125	1.00781250	4.00703110e+00
18	-0.99687500	0.99609375	3.98805451e+00
19	-0.98906250	0.98437500	3.96012777e+00
20	-0.98125000	0.97265625	3.93496475e+00
21	-0.97734375	0.96093750	3.91317927e+00
22	-0.96953125	0.94921875	3.88756877e+00
23	-0.96562500	0.93750000	3.86625047e+00
24	-0.95781250	0.92578125	3.84004630e+00
25	-0.95390625	0.91406250	3.81945150e+00
26	-0.94609375	0.90234375	3.79253766e+00
27	-0.94218750	0.89062500	3.77293777e+00
28	-0.93437500	0.87890625	3.74522843e+00
29	-0.92656250	0.86718750	3.71915897e+00
30	-0.92265625	0.85546875	3.69834945e+00
31	-0.91484375	0.84375000	3.67126544e+00
32	-0.90703125	0.83203125	3.64546480e+00
33	-0.90312500	0.82031250	3.62407289e+00
34	-0.89531250	0.80859375	3.59712247e+00
35	-0.88750000	0.79687500	3.57115479e+00
36	-0.88359375	0.78515625	3.54987758e+00
37	-0.87578125	0.77343750	3.52270872e+00
38	-0.86796875	0.76171875	3.49627783e+00
39	-0.86406250	0.75000000	3.47588228e+00
40	-0.85625000	0.73828125	3.44828262e+00
41	-0.84843750	0.72656250	3.42123207e+00
42	-0.84062500	0.71484375	3.39461350e+00
43	-0.83671875	0.70312500	3.37445188e+00
44	-0.82890625	0.69140625	3.34676490e+00
45	-0.82109375	0.67968750	3.31939926e+00
46	-0.81328125	0.66796875	3.29226914e+00
